Sun Jun 10 02:35:46 2018

   AbsTime(Us)      Delta            debugid                       arg1             arg2             arg3             arg4              thread         cpu#  command
        439.2        3.6(3.6)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        444.2        5.0             BSC_stat64                    ffffffffc452bda0 5fbfd6e8         8                fdf2000           1597ee            2  go
        447.1        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        453.2        6.0             BSC_stat64                    ffffffffc452bde0 5fbfd6e8         8                fdf2000           1597ee            2  go
        456.1        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        460.6        4.6             BSC_stat64                    ffffffffc452be18 5fbfd6e8         8                fdf2000           1597ee            2  go
        463.5        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        491.8       28.3             BSC_stat64                    ffffffffc5252c68 5fbfc898         8                fdf2000           1597ee            2  go
        494.6        2.8(2.8)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        499.7        5.1             BSC_stat64                    ffffffffc5252ca0 5fbfc898         8                fdf2000           1597ee            2  go
        502.4        2.8(2.8)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        584.5       82.1             BSC_stat64                    ffffffffb65d1a10 5fbfdac8         8                fdf2000           1597ee            2  go
        587.7        3.2(3.2)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        592.7        5.0             BSC_stat64                    ffffffffb65d1a48 5fbfdac8         8                fdf2000           1597ee            2  go
        595.9        3.2(3.2)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        601.2        5.3             BSC_stat64                    ffffffffb65d1b08 5fbfdac8         8                fdf2000           1597ee            2  go
        604.3        3.1(3.1)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        613.1        8.8             BSC_stat64                    ffffffffb65d1b48 5fbfdac8         8                fdf2000           1597ee            2  go
        616.5        3.5(3.5)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        621.4        4.8             BSC_stat64                    ffffffffb65d1b78 5fbfdac8         8                fdf2000           1597ee            2  go
        624.3        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        629.1        4.8             BSC_stat64                    ffffffffb65d1ba8 5fbfdac8         8                fdf2000           1597ee            2  go
        631.7        2.7(2.7)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        637.0        5.3             BSC_stat64                    ffffffffb65d1bd8 5fbfdac8         8                fdf2000           1597ee            2  go
        639.9        2.8(2.8)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        644.9        5.0             BSC_stat64                    ffffffffb65d1c10 5fbfdac8         8                fdf2000           1597ee            2  go
        647.7        2.8(2.8)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        653.2        5.5             BSC_stat64                    ffffffffb65d1cd8 5fbfdac8         8                fdf2000           1597ee            2  go
        657.7        4.5(4.5)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        666.5        8.8             BSC_stat64                    ffffffffc59245b0 5fbfd9a8         8                fdf2000           1597ee            2  go
        669.1        2.6(2.6)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        674.2        5.1             BSC_stat64                    ffffffffc59245e8 5fbfd9a8         8                fdf2000           1597ee            2  go
        677.0        2.8(2.8)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        682.8        5.9             BSC_stat64                    ffffffffc5932660 5fbfd888         8                fdf2000           1597ee            2  go
        685.3        2.4(2.4)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        691.4        6.1             BSC_stat64                    ffffffffb1f0c788 5fbfd958         8                fdf2000           1597ee            2  go
        694.3        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        700.0        5.8             BSC_stat64                    ffffffffb1f0c888 5fbfd958         8                fdf2000           1597ee            2  go
        702.7        2.7(2.7)        BSC_stat64                    0                0                0                3f42              1597ee            2  go


Number of microsecs since in last page    670.9
   AbsTime(Us)      Delta            debugid                       arg1             arg2             arg3             arg4              thread         cpu#  command

       1008.9      306.2             BSC_open                      fe1df98          2                5fbfe900         fdf2000           1597ee            2  go
       1046.9       38.0(38.0)       BSC_open                      0                3                0                3f42              1597ee            2  go
       1048.1        1.2             BSC_ioctl                     3                ffffffff80086804 5fbfe888         fdf2000           1597ee            2  go
       1055.4        7.3(7.3)        BSC_ioctl                     0                0                0                3f42              1597ee            2  go
       1056.2        0.8             BSC_close                     3                ffffffff80086804 5fbfe888         fdf2000           1597ee            2  go
       1060.8        4.6(4.6)        BSC_close                     0                0                0                3f42              1597ee            2  go
       1133.9       73.1             BSC_thread_selfid             0                0                0                0                 1597ee            2  go
       1134.4        0.5(0.5)        BSC_thread_selfid             0                1597ee           0                3f42              1597ee            2  go
       1135.5        1.1             BSC_bsdthread_register        ffffffffc5d610f4 ffffffffc5d610e4 2000             5fbfdc70          1597ee            2  go
       1142.8        7.3(7.3)        BSC_bsdthread_register        0                4000005f         0                3f42              1597ee            2  go
       1198.5       55.7             BSC_ulock_wake                1                5fbfdd0c         0                5fbfdc70          1597ee            2  go
       1199.8        1.3(1.3)        BSC_ulock_wake                2                0                0                3f42              1597ee            2  go
       1218.5       18.7             BSC_issetugid                 0                0                0                0                 1597ee            2  go
       1218.7        0.2(0.2)        BSC_issetugid                 0                0                0                3f42              1597ee            2  go
       1365.4      146.7             BSC_mprotect                  17ba000          88               1                5fbfdc70          1597ee            2  go
       1368.7        3.3(3.3)        BSC_mprotect                  0                0                0                3f42              1597ee            2  go
       1370.8        2.1             BSC_mprotect                  17bc000          1000             0                5fbfdc70          1597ee            2  go
       1372.4        1.6(1.6)        BSC_mprotect                  0                0                0                3f42              1597ee            2  go
       1372.7        0.2             BSC_mprotect                  17d2000          1000             0                5fbfdc70          1597ee            2  go
       1373.5        0.8(0.8)        BSC_mprotect                  0                0                0                3f42              1597ee            2  go
       1382.6        9.1             BSC_mprotect                  17d3000          1000             0                5fbfdc70          1597ee            2  go
       1383.4        0.9(0.9)        BSC_mprotect                  0                0                0                3f42              1597ee            2  go
       1383.7        0.2             BSC_mprotect                  17e9000          1000             0                5fbfdc70          1597ee            2  go
       1384.3        0.7(0.7)        BSC_mprotect                  0                0                0                3f42              1597ee            2  go
       1396.6       12.2             BSC_mprotect                  17ea000          1000             1                5fbfdc70          1597ee            2  go
       1397.6        1.0(1.0)        BSC_mprotect                  0                0                0                3f42              1597ee            2  go
       1397.9        0.4             BSC_mprotect                  17ba000          88               3                5fbfdc70          1597ee            2  go
       1400.7        2.8(2.8)        BSC_mprotect                  0                0                0                3f42              1597ee            2  go
       1414.2       13.5             BSC_mprotect                  17ba000          88               1                5fbfdc70          1597ee            2  go
       1415.6        1.4(1.4)        BSC_mprotect                  0                0                0                3f42              1597ee            2  go
       1664.6      249.0             BSC_getpid                    0                0                0                0                 1597ee            2  go
       1664.8        0.2(0.2)        BSC_getpid                    0                3f42             0                3f42              1597ee            2  go
       1665.4        0.6             BSC_kdebug_typefilter         5fbfdb48         5fbfdb40         1                5fbfdc70          1597ee            2  go
